DATETIME,GAS,COAL,NUCLEAR,WIND,WIND_EMB,HYDRO,IMPORTS,BIOMASS,OTHER,SOLAR,STORAGE,GENERATION,CARBON_INTENSITY,freq_mean,freq_min,freq_max,freq_std,out_of_49_5_50_5,out_of_49_8_50_2,n_points,Temperature (°C)_aberdeen,Precipitation (mm)_aberdeen,Wind Speed (m/s)_aberdeen,Wind Direction (deg)_aberdeen,Solar Irradiance (W/m²)_aberdeen,Cloud Cover (%)_aberdeen,Temperature (°C)_humber,Precipitation (mm)_humber,Wind Speed (m/s)_humber,Wind Direction (deg)_humber,Solar Irradiance (W/m²)_humber,Cloud Cover (%)_humber,Temperature (°C)_camborne,Precipitation (mm)_camborne,Wind Speed (m/s)_camborne,Wind Direction (deg)_camborne,Solar Irradiance (W/m²)_camborne,Cloud Cover (%)_camborne,Temperature (°C)_ashford,Precipitation (mm)_ashford,Wind Speed (m/s)_ashford,Wind Direction (deg)_ashford,Solar Irradiance (W/m²)_ashford,Cloud Cover (%)_ashford,Temperature (°C)_eastanglia,Precipitation (mm)_eastanglia,Wind Speed (m/s)_eastanglia,Wind Direction (deg)_eastanglia,Solar Irradiance (W/m²)_eastanglia,Cloud Cover (%)_eastanglia,Day,Holiday,ND,TSD,SETTLEMENT_DATE,SETTLEMENT_PERIOD,Datetime_utc
2020-01-01 00:00:00+00:00,7915,670,6953,5004,1135,672,2993,2353,130,0,41,27866,162,50.0567,49.968,50.119,0.0389,0,0,1800,3.6,0,18.5,201,0,41,3.8,0,12.3,148,0,54,7.8,0,10.5,98,0,100,3.6,0,10.9,136,0,17,7.5,0,12.9,113,0,100,Wednesday,Yes,26340,27153,1-Jan-20,1,2020-01-01 00:00:00+00:00
2020-01-01 00:30:00+00:00,8423,670,6949,5043,1096,669,2944,2358,123,0,62,28337,166,50.0079,49.947,50.109,0.0325,0,0,1800,3.6,0,18.5,201,0,41,3.8,0,12.3,148,0,54,7.8,0,10.5,98,0,100,3.6,0,10.9,136,0,17,7.5,0,12.9,113,0,100,Wednesday,Yes,26921,27684,1-Jan-20,2,2020-01-01 00:30:00+00:00
2020-01-01 01:00:00+00:00,8040,670,6952,5030,1059,662,2894,2356,122,0,0,27786,164,49.9854,49.892,50.046,0.0471,0,0,1800,3.6,0,18.7,208,0,38,3.8,0,9.6,146,0,100,7.4,0,9.9,109,0,67,2.8,0,8.2,128,0,22,7.2,0,12.2,124,0,100,Wednesday,Yes,26569,27240,1-Jan-20,3,2020-01-01 01:00:00+00:00
2020-01-01 01:30:00+00:00,7502,670,6948,4825,1026,591,2847,2343,122,0,0,26874,161,49.954,49.897,50.048,0.0344,0,0,1800,3.6,0,18.7,208,0,38,3.8,0,9.6,146,0,100,7.4,0,9.9,109,0,67,2.8,0,8.2,128,0,22,7.2,0,12.2,124,0,100,Wednesday,Yes,25754,26435,1-Jan-20,4,2020-01-01 01:30:00+00:00
2020-01-01 02:00:00+00:00,7023,669,6954,4689,999,548,2789,2356,121,0,0,26148,158,50.0075,49.925,50.125,0.0596,0,0,1800,3.4,0,14.5,210,0,29,4.1,0,9.2,141,0,100,7,0,7.3,110,0,100,2.8,0,8.5,118,0,90,6.9,0,12.6,143,0,94,Wednesday,Yes,25075,25824,1-Jan-20,5,2020-01-01 02:00:00+00:00
2020-01-01 02:30:00+00:00,6845,670,6953,4633,977,546,2742,2351,121,0,0,25838,157,50.0339,49.946,50.11,0.0367,0,0,1800,3.4,0,14.5,210,0,29,4.1,0,9.2,141,0,100,7,0,7.3,110,0,100,2.8,0,8.5,118,0,90,6.9,0,12.6,143,0,94,Wednesday,Yes,24468,25542,1-Jan-20,6,2020-01-01 02:30:00+00:00
2020-01-01 03:00:00+00:00,7348,670,6947,4469,960,527,2028,2360,122,0,0,25431,157,49.9384,49.89,50.024,0.026,0,0,1800,3.5,0,16.1,204,0,68,4.5,0,9.8,144,0,94,7.9,0,6.2,111,0,100,4.1,0,10,128,0,100,6.2,0,11.3,153,0,94,Wednesday,Yes,23724,25226,1-Jan-20,7,2020-01-01 03:00:00+00:00
2020-01-01 03:30:00+00:00,6997,670,6950,4352,952,429,1951,2339,122,0,0,24761,155,50.0526,49.958,50.162,0.0486,0,0,1800,3.5,0,16.1,204,0,68,4.5,0,9.8,144,0,94,7.9,0,6.2,111,0,100,4.1,0,10,128,0,100,6.2,0,11.3,153,0,94,Wednesday,Yes,23041,24573,1-Jan-20,8,2020-01-01 03:30:00+00:00
2020-01-01 04:00:00+00:00,6905,670,6956,4530,948,440,1806,2345,123,0,0,24723,152,50.0384,49.938,50.138,0.0524,0,0,1800,3.9,0,18.5,201,0,56,4.5,0,9.6,160,0,94,8.1,0.1,4.5,104,0,100,4.5,0,10.2,135,0,100,5.7,0,9.4,162,0,99,Wednesday,Yes,22537,23822,1-Jan-20,9,2020-01-01 04:00:00+00:00
2020-01-01 04:30:00+00:00,6712,671,6962,4813,953,438,1806,2341,123,0,0,24819,149,50.0513,50.02,50.117,0.0188,0,0,1800,3.9,0,18.5,201,0,56,4.5,0,9.6,160,0,94,8.1,0.1,4.5,104,0,100,4.5,0,10.2,135,0,100,5.7,0,9.4,162,0,99,Wednesday,Yes,22322,23898,1-Jan-20,10,2020-01-01 04:30:00+00:00
